Order No.,Order Initiation,Customer ID,Product ID,Order Delivery,Export Class,Sale($),Lead Time,Quantity Sold,Discount,Revenue, Net Revenue ,Profit,Rating
4225,29-Mar-20,14080,10000756,10/10/2020,Premium Class,645,195,229,0,125775,125775,7,Best
3249,13-Apr-20,18715,10004186,31/07/2020,Middle Class,999,109,269,0.6,108891,43556,94,Best
4191,08-Jan-20,18865,10000107,28/07/2020,Premium Class,640,202,255,0.3,129280,90496,99,Good
4421,14-Jan-20,16900,10003056,27/07/2020,Premium Class,882,195,314,0.3,171990,120393,115,Average
3313,01-Apr-20,13000,10001949,13/12/2020,Same Day,979,256,155,0.3,250624,175437,96,Good
4221,29-Mar-20,15265,10002215,18/10/2020,Premium Class,900,203,17,0.3,182700,127890,69,Average
4462,21-Jan-20,21055,10000246,04/09/2020,Premium Class,875,227,147,0,198625,198625,415,Best
4240,25-Apr-20,13520,10001492,18/12/2020,First Class,863,237,114,0.3,204531,143172,201,Best
3468,08-Feb-20,18970,10002774,10/12/2020,Middle Class,654,306,335,0,200124,200124,18,Good
3961,20-Mar-20,11590,10001634,11/10/2020,Premium Class,734,205,95,0,150470,150470,163,Average
3190,13-Mar-20,16270,10003027,16/11/2020,First Class,720,248,352,0.3,178560,124992,382,Average
4481,10-Feb-20,14980,10004834,18/09/2020,Premium Class,883,221,349,0,195143,195143,20,Best
4986,22-Jan-20,15745,10000474,21/09/2020,Premium Class,798,243,219,0.3,193914,135740,399,Best
4568,03-Apr-20,12500,10004848,02/11/2020,Middle Class,963,213,310,0,205119,205119,163,Average
3486,07-Mar-20,20770,10001509,24/11/2020,Premium Class,540,262,97,0.3,141480,99036,186,Good
3451,17-Apr-20,13690,10004042,15/09/2020,Premium Class,664,151,54,0.3,100264,70185,51,Best
4261,25-Jan-20,16105,10001525,01/07/2020,Premium Class,798,158,217,0.3,126084,88259,337,Average
4316,07-Feb-20,12400,10001683,27/10/2020,Premium Class,808,263,15,0.3,212504,148753,184,Good
3965,07-Feb-20,18895,10000249,11/09/2020,Premium Class,846,217,161,0.3,183582,128507,305,Average
4798,05-Feb-20,14455,10004977,14/12/2020,Premium Class,679,313,381,0.3,212527,148769,236,Best
3156,15-Mar-20,15685,10003664,15/09/2020,Premium Class,665,184,338,0.3,122360,85652,306,Best
3872,06-Feb-20,16315,10002986,25/06/2020,Premium Class,883,140,346,0.3,123620,86534,473,Good
3463,05-Feb-20,19705,10002545,22/06/2020,Same Day,961,138,354,0.3,132618,92833,50,Best
3651,08-Mar-20,18775,10004218,01/10/2020,Premium Class,600,207,121,0.3,124200,86940,117,Average
3265,14-Feb-20,16345,10000486,06/10/2020,Middle Class,758,235,104,0.3,178130,124691,419,Good
3027,06-Jan-20,13855,10004093,17/08/2020,Middle Class,574,224,103,0.3,128576,90003,278,Average
4468,30-Apr-20,19465,10003479,01/10/2020,First Class,738,154,359,0,113652,113652,140,Average
3049,27-Feb-20,14470,10003282,28/10/2020,Premium Class,649,244,76,0,158356,158356,223,Good
4404,15-Jan-20,16870,10000171,23/06/2020,Premium Class,783,160,393,0.3,125280,87696,369,Average
3005,17-Feb-20,15250,10003291,26/10/2020,Premium Class,991,252,108,0,249732,249732,341,Best
4399,03-Apr-20,19060,10001713,08/09/2020,Premium Class,892,158,357,0,140936,140936,364,Good
3438,20-Feb-20,12805,10002167,31/12/2020,Premium Class,715,315,238,0,225225,225225,336,Good
4848,10-Jan-20,12565,10003988,30/11/2020,Premium Class,716,325,390,0.3,232700,162890,453,Good
4327,04-Apr-20,19960,10004410,10/11/2020,Premium Class,946,220,200,0.3,208120,145684,26,Good
4975,07-Feb-20,13090,10002762,23/06/2020,Middle Class,986,137,187,0,135082,135082,354,Good
4963,29-Jan-20,14650,10001706,07/08/2020,Premium Class,522,191,12,0,99702,99702,127,Good
3125,14-Feb-20,20725,10003061,28/10/2020,Premium Class,758,257,173,0,194806,194806,300,Good
3372,23-Feb-20,10180,10000304,30/10/2020,Middle Class,616,250,356,0.3,154000,107800,138,Good
4536,20-Feb-20,19165,10002447,03/06/2020,Same Day,625,104,19,0.3,65000,45500,258,Best
4972,11-Apr-20,21610,10000604,28/09/2020,First Class,706,170,19,0.3,120020,84014,169,Good
4421,05-Mar-20,16975,10001569,01/06/2020,Premium Class,926,88,289,0.3,81488,57042,187,Best
3351,06-Apr-20,13585,10003968,20/11/2020,Middle Class,904,228,358,0,206112,206112,197,Good
4078,01-Feb-20,16885,10000587,28/07/2020,Premium Class,514,178,359,1,91492, -   ,198,Average
4292,12-Apr-20,15895,10001460,19/06/2020,Premium Class,532,68,45,0,36176,36176,130,Good
3512,29-Jan-20,19975,10001868,26/07/2020,Premium Class,913,179,82,0,163427,163427,110,Best
4698,09-Jan-20,20080,10004633,01/09/2020,Middle Class,635,236,4,0,149860,149860,241,Average
4279,13-Mar-20,14920,10001078,15/08/2020,Premium Class,941,155,121,0.3,145855,102099,276,Best
4546,20-Feb-20,17680,10003892,23/10/2020,First Class,642,246,16,0.3,157932,110552,319,Best
3559,21-Apr-20,16165,10000397,11/07/2020,Premium Class,774,81,135,0.3,62694,43886,196,Average
3934,05-Jan-20,21025,10001146,17/12/2020,Premium Class,600,347,272,0.3,208200,145740,316,Good
4944,23-Mar-20,20650,10002671,29/06/2020,Premium Class,674,98,182,0,66052,66052,418,Best
3147,11-Mar-20,18490,10002726,31/10/2020,First Class,664,234,307,0,155376,155376,151,Best
3194,30-Mar-20,13060,10000482,08/07/2020,Premium Class,651,100,97,0,65100,65100,34,Average
3962,05-Mar-20,18350,10004654,11/09/2020,Premium Class,986,190,385,0,187340,187340,148,Average
4794,16-Jan-20,21070,10004675,16/11/2020,Middle Class,891,305,19,0,271755,271755,115,Average
3044,29-Apr-20,13960,10000513,30/10/2020,First Class,685,184,151,0,126040,126040,316,Good
3076,13-Mar-20,19900,10003708,12/08/2020,Middle Class,962,152,191,0,146224,146224,56,Good
4335,19-Mar-20,17740,10004123,09/11/2020,Premium Class,581,235,54,0,136535,136535,480,Good
4015,14-Jan-20,11140,10004182,15/09/2020,Middle Class,787,245,95,0,192815,192815,230,Best
4722,13-Feb-20,12130,10000260,02/09/2020,Middle Class,880,202,161,0,177760,177760,371,Good
4041,12-Jan-20,15400,10000615,23/07/2020,Middle Class,896,193,291,0,172928,172928,446,Best
4869,19-Mar-20,20500,10003194,06/12/2020,Premium Class,834,262,318,0,218508,218508,357,Best
4384,26-Mar-20,15640,10002118,27/12/2020,Premium Class,749,276,286,0,206724,206724,127,Best
3647,30-Mar-20,13150,10002309,26/09/2020,Premium Class,663,180,286,0,119340,119340,388,Best
3955,09-Apr-20,19355,10002053,13/06/2020,Premium Class,980,65,161,0,63700,63700,273,Average
4786,18-Feb-20,19990,10002370,09/11/2020,Premium Class,859,265,320,0.3,227635,159345,409,Best
4387,21-Apr-20,14290,10000927,14/09/2020,Middle Class,846,146,231,0.3,123516,86461,281,Average
3549,26-Feb-20,10360,10003656,19/07/2020,Premium Class,940,144,47,0.3,135360,94752,148,Average
4135,10-Feb-20,17470,10000863,30/10/2020,Middle Class,886,263,58,0.3,233018,163113,450,Best
3583,30-Jan-20,17515,10001998,29/06/2020,Middle Class,549,151,72,0.3,82899,58029,136,Good
3865,16-Mar-20,12025,10000134,18/10/2020,Premium Class,508,216,268,0,109728,109728,425,Best
3633,10-Mar-20,21685,10003442,08/09/2020,Middle Class,636,182,187,0,115752,115752,133,Average
3304,04-Feb-20,14365,10004930,30/10/2020,Middle Class,677,269,164,0,182113,182113,119,Average
4383,17-Jan-20,17305,10000304,13/06/2020,Premium Class,658,148,394,0,97384,97384,216,Good
3841,01-Jan-20,11755,10003177,26/06/2020,Premium Class,633,177,341,0.3,112041,78429,341,Good
4188,11-Feb-20,17140,10003799,06/07/2020,Premium Class,909,146,194,0.3,132714,92900,449,Average
4281,19-Mar-20,14890,10002852,15/09/2020,Premium Class,994,180,61,0,178920,178920,458,Best
3565,28-Apr-20,16810,10004738,26/09/2020,Premium Class,548,151,53,0,82748,82748,120,Average
3417,02-Feb-20,15985,10000629,16/06/2020,Premium Class,765,135,37,0,103275,103275,458,Average
3076,30-Jan-20,17980,10001721,24/09/2020,Premium Class,953,238,158,0.3,226814,158770,422,Best
4320,18-Mar-20,21775,10000358,14/10/2020,Premium Class,744,210,379,0,156240,156240,273,Best
3781,17-Mar-20,15910,10003256,30/11/2020,Premium Class,534,258,117,0.3,137772,96440,38,Average
3697,11-Feb-20,15925,10001767,29/11/2020,Middle Class,766,292,396,0,223672,223672,221,Good
3094,17-Apr-20,13180,10002609,11/06/2020,Premium Class,752,55,34,0,41360,41360,311,Average
3432,16-Mar-20,21350,10004040,18/11/2020,Premium Class,722,247,392,0,178334,178334,142,Average
4370,01-May-20,14035,10001552,03/06/2020,Premium Class,542,33,338,0.3,17886,12520,380,Best
4403,10-Jan-20,13120,10004006,08/08/2020,Premium Class,996,211,264,0.3,210156,147109,139,Good
4590,06-Feb-20,12545,10002794,28/08/2020,Premium Class,955,204,87,0.3,194820,136374,291,Best
3916,06-Apr-20,13480,10003499,02/10/2020,Premium Class,542,179,169,0.3,97018,67913,18,Good
4439,07-Jan-20,17155,10002844,14/06/2020,Premium Class,655,159,155,0,104145,104145,263,Best
3923,01-Feb-20,16540,10000390,08/07/2020,Premium Class,882,158,42,0.3,139356,97549,88,Good
4069,23-Mar-20,13315,10000844,31/12/2020,First Class,858,283,212,0,242814,242814,469,Good
3761,26-Apr-20,12880,10001934,14/09/2020,Premium Class,621,141,211,0,87561,87561,270,Average
3595,01-Mar-20,12350,10000380,29/07/2020,Same Day,940,150,44,0,141000,141000,419,Best
3972,21-Apr-20,13600,10003981,04/07/2020,First Class,935,74,122,0,69190,69190,158,Average
4717,05-Apr-20,20290,10000621,01/08/2020,Middle Class,929,118,348,0.3,109622,76735,397,Good
4271,05-Jan-20,19825,10002600,26/11/2020,Premium Class,739,326,273,0.3,240914,168640,102,Average
4298,04-Feb-20,10210,10004965,22/12/2020,Premium Class,888,322,372,0,285936,285936,85,Average
4943,22-Feb-20,12535,10002504,28/10/2020,Same Day,978,249,81,0.3,243522,170465,320,Good
4432,12-Jan-20,12310,10001768,17/11/2020,Premium Class,839,310,172,0,260090,260090,305,Good
4713,06-Apr-20,12590,10003650,01/07/2020,Premium Class,915,86,109,0.3,78690,55083,290,Best
3870,30-Jan-20,10990,10002157,27/08/2020,First Class,819,210,89,0,171990,171990,356,Average
3932,27-Jan-20,10495,10000777,11/12/2020,First Class,994,319,251,0,317086,317086,434,Average
4786,26-Mar-20,15280,10002500,05/07/2020,First Class,0,101,282,0,, -   ,122,Best
3444,08-Mar-20,10195,10003875,30/12/2020,Premium Class,980,297,297,0,291060,291060,134,Good
3820,29-Mar-20,18565,10004063,23/11/2020,Premium Class,502,239,362,0,119978,119978,168,Good
4033,27-Feb-20,16555,10004534,29/12/2020,Middle Class,734,306,151,0.3,224604,157223,449,Good
4441,13-Mar-20,10225,10003274,12/07/2020,Premium Class,597,121,331,0.3,72237,50566,325,Average
3655,21-Mar-20,12625,10002974,19/06/2020,Premium Class,673,90,268,0.3,60570,42399,241,Average
3306,17-Jan-20,20395,10003773,07/06/2020,First Class,687,142,327,0.3,97554,68288,249,Good
3657,20-Feb-20,11185,10002293,19/06/2020,First Class,840,120,178,0,100800,100800,471,Average
4985,21-Mar-20,21205,10002377,17/06/2020,Premium Class,524,88,108,0,46112,46112,413,Best
4144,31-Jan-20,10525,10002780,31/12/2020,Premium Class,762,335,22,0.3,255270,178689,439,Best
4881,08-Jan-20,20860,10001804,28/12/2020,Same Day,711,355,44,0.8,252405,50481,425,Good
3595,22-Jan-20,18445,10001736,15/08/2020,Middle Class,530,206,49,0,109180,109180,294,Best
3578,20-Jan-20,14230,10001149,16/10/2020,Premium Class,926,270,258,0,250020,250020,482,Best
4749,01-Mar-20,14620,10002988,20/09/2020,First Class,565,203,11,0,114695,114695,223,Best
3559,13-Jan-20,13510,10004781,24/12/2020,Premium Class,671,346,43,0.3,232166,162516,102,Average
3111,01-May-20,18850,10001218,13/07/2020,First Class,657,73,171,0.3,47961,33573,391,Average
3763,20-Jan-20,15850,10000940,21/07/2020,Premium Class,870,183,250,0.3,159210,111447,30,Average
3801,13-Apr-20,13615,10004030,03/08/2020,First Class,861,112,272,0,96432,96432,12,Average
4157,14-Mar-20,10420,10004327,30/09/2020,First Class,910,200,34,0,182000,182000,63,Good
4668,05-Mar-20,12550,10001058,26/08/2020,Premium Class,584,174,378,0,101616,101616,369,Good
4798,03-Feb-20,20995,10000521,31/12/2020,First Class,525,332,399,0.3,174300,122010,58,Good
4428,12-Apr-20,10060,10000215,14/12/2020,Middle Class,663,246,290,0.3,163098,114169,140,Good
4606,05-Apr-20,15505,10001448,21/08/2020,Premium Class,952,138,3,0.3,131376,91963,485,Average
4935,06-Mar-20,21745,10002735,11/07/2020,Premium Class,808,127,189,0.3,102616,71831,433,Average
3248,07-Feb-20,16435,10000326,07/09/2020,Middle Class,758,213,245,0.3,161454,113018,261,Good
4422,10-Jan-20,16060,10001254,07/11/2020,First Class,772,302,286,0.3,233144,163201,497,Average
4263,09-Apr-20,17905,10001950,18/10/2020,Premium Class,742,192,118,0.3,142464,99725,94,Best
3704,26-Mar-20,14755,10002254,16/06/2020,Premium Class,567,82,390,0.3,46494,32546,323,Good
4468,21-Jan-20,10900,10001590,23/08/2020,Premium Class,964,215,250,0.3,207260,145082,402,Best
4442,11-Jan-20,18280,10001547,18/11/2020,Premium Class,565,312,334,0.3,176280,123396,242,Good
4787,20-Apr-20,10405,10002475,20/07/2020,Premium Class,671,91,57,0.3,61061,42743,372,Good
3826,10-Feb-20,19915,10004536,21/12/2020,Premium Class,786,315,18,0,247590,247590,214,Average
3937,11-Mar-20,10285,10002751,14/06/2020,Premium Class,649,95,349,0.3,61655,43159,248,Best
4383,14-Mar-20,13580,10003657,28/12/2020,Premium Class,851,289,57,0,245939,245939,214,Average
4166,14-Feb-20,13435,10001990,07/07/2020,Premium Class,506,144,261,0,72864,72864,378,Best
4936,04-Jan-20,13225,10004002,12/08/2020,Premium Class,822,221,4,0.3,181662,127163,138,Best
4260,23-Feb-20,18430,10004441,12/07/2020,Premium Class,741,140,195,0.3,103740,72618,402,Best
4220,25-Jan-20,18190,10000822,01/07/2020,Same Day,615,158,157,0.8,97170,19434,460,Good
4619,17-Apr-20,15115,10000991,18/06/2020,Middle Class,735,62,392,0.3,45570,31899,17,Average
4206,21-Apr-20,11095,10004287,10/11/2020,Premium Class,590,203,151,0,119770,119770,422,Best
4474,02-Feb-20,21730,10002656,20/07/2020,Premium Class,688,169,396,0.3,116272,81390,273,Average
3759,04-Apr-20,20140,10002518,15/12/2020,Same Day,754,255,157,0,192270,192270,467,Average
4745,12-Mar-20,10355,10003931,12/11/2020,Middle Class,712,245,125,0.3,174440,122108,204,Best
4213,18-Feb-20,17185,10000659,13/12/2020,Premium Class,553,299,21,0.8,165347,33069,216,Average
3163,02-Jan-20,19840,10001144,21/08/2020,Same Day,536,232,110,0,124352,124352,404,Best
4968,28-Jan-20,16510,10003817,28/07/2020,First Class,672,182,121,0,122304,122304,52,Average
3422,18-Mar-20,16355,10000891,27/09/2020,First Class,772,193,73,0,148996,148996,268,Good
4751,13-Feb-20,12010,10003148,11/07/2020,Premium Class,993,149,365,0.8,147957,29591,392,Good
3261,19-Mar-20,19150,10002684,07/06/2020,Premium Class,696,80,210,0.3,55680,38976,277,Average
4246,28-Mar-20,17965,10004698,05/06/2020,Premium Class,830,69,57,0,57270,57270,37,Best
4477,09-Jan-20,18385,10002189,30/09/2020,Same Day,522,265,168,0,138330,138330,285,Average
3986,17-Mar-20,20485,10001940,02/06/2020,Premium Class,729,77,83,0,56133,56133,96,Average
3421,27-Feb-20,12530,10003455,11/07/2020,Middle Class,683,135,63,0,92205,92205,350,Average
4831,08-Feb-20,19795,10004659,19/07/2020,Premium Class,777,162,334,0,125874,125874,303,Average
4379,22-Feb-20,18160,10003273,22/08/2020,Premium Class,634,182,396,0.3,115388,80772,423,Good
4569,08-Mar-20,19180,10004896,01/12/2020,Premium Class,535,268,272,0,143380,143380,48,Good
4159,05-Feb-20,11545,10002345,23/09/2020,Premium Class,752,231,370,0,173712,173712,398,Good
4500,23-Feb-20,21595,10001890,11/06/2020,Premium Class,524,109,124,0,57116,57116,314,Best
4046,03-Feb-20,19360,10002323,14/11/2020,Premium Class,961,285,300,0,273885,273885,362,Best
4150,25-Apr-20,13705,10001328,12/10/2020,Middle Class,878,170,231,0.3,149260,104482,381,Average
4590,11-Feb-20,20095,10002613,08/08/2020,First Class,553,179,126,0.6,98987,39595,52,Good
4247,14-Mar-20,21040,10001552,18/07/2020,Middle Class,603,126,374,0.3,75978,53185,135,Average
4758,01-Mar-20,15940,10000061,03/10/2020,Premium Class,563,216,398,0.3,121608,85126,303,Good
4223,09-Feb-20,17785,10003514,21/11/2020,First Class,697,286,165,0.3,199342,139539,321,Best
4880,08-Mar-20,15520,10004685,23/09/2020,Premium Class,706,199,2,0.3,140494,98346,2,Best
4377,30-Mar-20,15475,10004027,05/09/2020,Premium Class,878,159,288,0.3,139602,97721,62,Good
4941,12-Jan-20,15805,10001414,24/11/2020,Premium Class,630,317,323,0.3,199710,139797,247,Best
3091,10-Feb-20,21865,10000343,15/07/2020,Premium Class,723,156,399,0,112788,112788,109,Good
4730,10-Jan-20,14065,10002749,12/08/2020,Premium Class,955,215,66,0,205325,205325,364,Good
3592,07-Jan-20,18070,10002666,04/12/2020,Premium Class,787,332,215,0,261284,261284,363,Average
3618,14-Feb-20,20830,10004289,08/07/2020,Middle Class,781,145,128,0,113245,113245,49,Good
4581,15-Mar-20,11905,10003622,24/10/2020,Premium Class,987,223,332,0,220101,220101,343,Good
3489,26-Mar-20,10960,10003217,16/10/2020,Middle Class,513,204,229,0,104652,104652,411,Best
3829,18-Apr-20,20590,10002960,22/09/2020,Premium Class,995,157,318,0.3,156215,109351,330,Best
3779,18-Mar-20,19780,10001918,11/06/2020,First Class,609,85,385,0.8,51765,10353,93,Good
3486,08-Feb-20,17350,10000642,17/12/2020,Premium Class,726,313,215,0,227238,227238,360,Average
4610,05-Apr-20,17380,10001700,07/09/2020,Premium Class,678,155,239,0,105090,105090,471,Good
4034,16-Mar-20,12385,10000134,26/11/2020,First Class,907,255,115,0,231285,231285,4,Best
3657,04-Jan-20,17245,10001522,20/10/2020,Middle Class,670,290,341,0,194300,194300,49,Average
3736,21-Mar-20,11515,10001266,26/11/2020,First Class,561,250,175,0,140250,140250,354,Good
4284,29-Jan-20,13210,10004544,28/07/2020,First Class,665,181,111,0.3,120365,84256,346,Good
4140,18-Jan-20,17605,10004695,07/06/2020,Premium Class,880,141,328,0.3,124080,86856,96,Best
3746,05-Jan-20,11605,10000864,24/06/2020,Premium Class,766,171,100,0,130986,130986,279,Average
4078,07-Mar-20,18790,10000109,15/12/2020,Premium Class,857,283,147,0,242531,242531,194,Average
4996,06-Feb-20,18145,10002563,24/09/2020,Middle Class,585,231,248,0,135135,135135,93,Average
3759,08-Feb-20,16240,10000585,09/12/2020,Middle Class,687,305,170,0.8,209535,41907,463,Best
3853,30-Mar-20,15340,10004000,24/08/2020,Premium Class,995,147,165,0.8,146265,29253,188,Best
3718,28-Feb-20,19615,10000087,14/09/2020,Premium Class,718,199,174,0.8,142882,28576,285,Best
4645,03-Mar-20,10375,10001148,23/11/2020,First Class,680,265,87,0.3,180200,126140,171,Best
4930,31-Mar-20,13915,10001958,12/07/2020,Premium Class,567,103,131,0.3,58401,40881,84,Best
3305,15-Apr-20,12985,10001026,11/12/2020,Middle Class,525,240,243,0.3,126000,88200,344,Best
3393,11-Jan-20,11500,10003748,23/07/2020,First Class,961,194,314,0.3,186434,130504,274,Best
4000,30-Apr-20,17065,10002485,28/08/2020,Middle Class,756,120,287,0.3,90720,63504,212,Best
3895,20-Apr-20,10135,10004860,23/11/2020,Premium Class,586,217,94,0,127162,127162,422,Average
4584,26-Mar-20,11320,10004477,26/11/2020,Premium Class,625,245,22,0,153125,153125,281,Good
4932,11-Feb-20,14710,10001679,21/12/2020,Premium Class,878,314,399,0,275692,275692,155,Average
4408,11-Apr-20,10945,10001705,13/12/2020,Same Day,844,246,56,0,207624,207624,392,Best
3859,20-Jan-20,18730,10003473,24/09/2020,Same Day,768,248,124,0,190464,190464,487,Average
3784,08-Feb-20,17080,10004017,01/09/2020,Premium Class,888,206,234,0,182928,182928,316,Best
4097,03-Mar-20,12775,10003832,04/08/2020,Premium Class,986,154,297,0.3,151844,106291,183,Best
3457,31-Mar-20,15490,10002479,02/11/2020,Premium Class,566,216,384,0.3,122256,85579,422,Average
4469,27-Jan-20,14320,10003349,04/11/2020,Premium Class,836,282,193,0.3,235752,165026,393,Best
4864,11-Jan-20,13840,10000576,04/11/2020,Middle Class,615,298,362,0.3,183270,128289,500,Best
3114,01-Jan-20,15415,10004351,02/07/2020,Premium Class,531,183,121,0.8,97173,19435,158,Good
4222,23-Feb-20,20200,10000011,01/07/2020,Middle Class,789,129,287,0.3,101781,71247,198,Good
3228,24-Mar-20,21640,10002607,29/06/2020,Premium Class,881,97,105,0,85457,85457,204,Good
3673,15-Mar-20,11950,10002505,13/09/2020,Premium Class,617,182,371,0.3,112294,78606,87,Best
3625,19-Feb-20,12145,10002276,25/06/2020,First Class,579,127,210,0.3,73533,51473,258,Good
4879,21-Feb-20,13465,10004082,09/10/2020,Premium Class,603,231,146,0.3,139293,97505,443,Best
4919,11-Feb-20,11725,10002945,05/06/2020,Premium Class,945,115,164,0.3,108675,76073,301,Average
3405,08-Mar-20,21910,10002965,24/07/2020,Middle Class,811,138,46,0.3,111918,78343,29,Good
3482,06-Apr-20,17830,10004569,25/12/2020,Middle Class,678,263,318,0,178314,178314,449,Good
3878,01-May-20,16915,10001228,24/06/2020,Premium Class,694,54,239,0.8,37476,7495,480,Best
3726,11-Apr-20,21130,10003296,08/09/2020,Premium Class,517,150,212,0,77550,77550,270,Average
4805,02-Apr-20,12205,10004804,03/09/2020,Premium Class,906,154,135,0,139524,139524,20,Average
3095,24-Feb-20,10240,10001580,01/11/2020,Same Day,726,251,94,0.8,182226,36445,237,Best
4280,23-Apr-20,10510,10000290,27/09/2020,Premium Class,566,157,30,0,88862,88862,199,Good
3996,20-Feb-20,18655,10002790,06/10/2020,Premium Class,752,229,178,0.8,172208,34442,218,Best
4826,11-Jan-20,14590,10003460,08/07/2020,Premium Class,848,179,254,0.8,151792,30358,445,Best
3490,24-Jan-20,12595,10002203,05/12/2020,First Class,634,316,57,0,200344,200344,309,Good
3754,01-Apr-20,18355,10003353,07/11/2020,Middle Class,521,220,353,0,114620,114620,310,Best
3399,15-Jan-20,12265,10001433,17/07/2020,Premium Class,885,184,182,0.8,162840,32568,233,Average
4356,25-Jan-20,20965,10004469,10/10/2020,Premium Class,549,259,29,0,142191,142191,101,Good
4079,09-Apr-20,17800,10003602,28/12/2020,Middle Class,559,263,98,0.3,147017,102912,274,Good
4775,13-Apr-20,10735,10003472,03/06/2020,First Class,815,51,363,0.8,41565,8313,352,Good
4684,22-Mar-20,14380,10004180,21/09/2020,Premium Class,504,183,6,0.8,92232,18446,114,Good
4879,25-Mar-20,13420,10004386,29/08/2020,First Class,999,157,300,0,156843,156843,134,Good
4612,21-Apr-20,17725,10003208,01/06/2020,Premium Class,644,41,356,0.8,26404,5281,462,Good
3164,23-Mar-20,16150,10003628,25/08/2020,First Class,523,155,183,0.3,81065,56746,302,Average
3742,15-Mar-20,15835,10003274,10/12/2020,Same Day,991,270,392,0,267570,267570,368,Best
3647,03-Jan-20,20305,10002557,23/12/2020,Same Day,982,355,273,0,348610,348610,128,Best
4061,12-Feb-20,12430,10002615,12/06/2020,Premium Class,957,121,250,0.8,115797,23159,94,Average
4546,21-Mar-20,10825,10001427,22/12/2020,Middle Class,635,276,20,0.3,175260,122682,230,Average
4038,01-Apr-20,20740,10000673,31/07/2020,Premium Class,660,121,184,0.3,79860,55902,370,Average
3965,02-Jan-20,12730,10004470,16/10/2020,Middle Class,622,288,288,0.3,179136,125395,260,Average
3011,08-Jan-20,14125,10000876,01/06/2020,Premium Class,516,145,44,0.3,74820,52374,60,Average
3167,30-Jan-20,20545,10002043,14/10/2020,Premium Class,696,258,352,0.3,179568,125698,416,Average
4972,23-Feb-20,21235,10004967,02/12/2020,Premium Class,873,283,133,0,247059,247059,358,Good
3678,07-Apr-20,19390,10001760,26/11/2020,Premium Class,931,233,0,0,216923,216923,399,Average
4139,24-Feb-20,19570,10002903,01/12/2020,Premium Class,815,281,274,0.3,229015,160311,233,Good
4438,04-Jan-20,11980,10000474,19/11/2020,Premium Class,742,320,146,0.8,237440,47488,441,Best
4957,08-Jan-20,13630,10001956,04/07/2020,Premium Class,561,178,126,0.3,99858,69901,259,Good
4001,04-Mar-20,14635,10004100,02/12/2020,Premium Class,782,273,40,0,213486,213486,89,Average
4982,13-Jan-20,17845,10000778,31/12/2020,Premium Class,901,353,391,0.3,318053,222637,52,Best
3587,23-Feb-20,19285,10000646,29/12/2020,Premium Class,858,310,65,0,265980,265980,350,Best
3309,28-Jan-20,18325,10002983,03/10/2020,Premium Class,608,249,231,0.8,151392,30278,104,Best
4628,21-Jan-20,10165,10004689,30/09/2020,First Class,577,253,261,0.3,145981,102187,365,Best
3302,21-Jan-20,15550,10002001,21/08/2020,Premium Class,537,213,209,0.3,114381,80067,101,Good
